Longitude,Latitude,TotalRooms,TotalBedrooms,Population,Households,HousingMedianAge,MedianIncome,OceanProximity,TargetMedianHouseValue,TargetLogistic,TargetSoftmax
-118.26,34.13,3208,1111,2843,1005,25,2.6673,<1H OCEAN,218100,1,1
-118.23,33.96,1977,570,2406,557,42,2.5913,<1H OCEAN,151600,0,1
-117.2,33.2,4409,629,1875,609,16,5.543,<1H OCEAN,286400,1,2
-116.98,33.74,4952,1062,1589,1024,25,1.8446,INLAND,85700,0,0
-117.34,34.12,1008,164,568,196,26,3.3516,INLAND,105600,0,0
-122.49,37.73,1937,336,742,307,39,5.1991,NEAR OCEAN,369400,1,2
-117.96,34.08,1076,338,1242,332,39,2.2679,<1H OCEAN,151800,0,1
-118.68,34.13,11251,1594,3029,1227,9,6.7273,<1H OCEAN,500001,1,2
-121.44,38.5,2033,586,1281,521,20,1.4007,INLAND,97500,0,0
-122.46,37.71,1642,351,1138,340,52,4.1406,NEAR OCEAN,219500,1,1
-116.75,32.85,4863,845,2266,769,17,4.2321,<1H OCEAN,217400,1,1
-117.23,32.8,1297,355,776,337,27,2.4643,NEAR OCEAN,244400,1,2
-122.08,37.71,1663,295,781,301,38,5.0519,NEAR BAY,227000,1,1
-117.64,34.02,4887,930,2637,831,10,4.0611,INLAND,158000,0,1
-117.76,34.13,16759,2274,7249,2156,8,7.4837,INLAND,358700,1,2
-117.33,34.12,933,219,838,211,33,1.3417,INLAND,69000,0,0
-122.04,37.96,1207,252,724,252,28,3.6964,NEAR BAY,165700,0,1
-118.67,34.3,6123,825,2440,736,5,7.9013,<1H OCEAN,393000,1,2
-118.96,35.37,1463,339,1066,318,41,1.7467,INLAND,52400,0,0
-118.26,34.07,2341,703,2371,648,46,2.4038,<1H OCEAN,181700,1,1
-122.19,37.75,1126,263,482,150,36,1.9167,NEAR BAY,82800,0,0
-118.53,34.27,1931,298,948,314,32,5.3847,<1H OCEAN,329200,1,2
-124.16,41.02,1672,385,1060,390,23,2.1726,NEAR OCEAN,75500,0,0
-117.28,34.17,3728,888,1765,727,26,1.7456,INLAND,86800,0,0
-118.13,34.04,1444,312,881,303,40,3.1083,<1H OCEAN,220500,1,1
-118.52,34.29,2272,320,868,312,28,7.7464,<1H OCEAN,474600,1,2
-122.36,37.58,3084,595,1324,571,52,5.0756,NEAR OCEAN,374200,1,2
-122.14,37.42,206,44,134,51,46,4.15,NEAR BAY,265000,1,2
-122.08,37.6,3046,678,2056,628,10,3.9022,NEAR BAY,191700,1,1
-122.27,38.12,5266,1167,3124,1025,42,2.7375,NEAR BAY,120000,0,0
-122.28,37.87,1233,300,571,292,52,2.2788,NEAR BAY,182300,1,1
-118.95,35.38,2220,388,906,373,35,3.5938,INLAND,95200,0,0
-118.29,33.79,3708,1016,2855,948,10,2,<1H OCEAN,165400,0,1
-118.17,33.82,2539,497,1152,488,52,4.1354,NEAR OCEAN,268200,1,2
-118.39,33.92,80,20,61,23,41,5.25,<1H OCEAN,247200,1,2
-118.44,33.88,2020,451,724,399,35,6.6494,NEAR OCEAN,500001,1,2
-117.78,33.88,1800,238,871,234,16,6.6678,<1H OCEAN,301900,1,2
-118.61,34.2,1673,284,794,270,29,5.5191,<1H OCEAN,245800,1,2
-121.32,38.69,13796,2372,6000,2250,11,3.8776,INLAND,124500,0,0
-118.22,34.03,554,214,888,218,45,1.8125,<1H OCEAN,139600,0,0
-121.89,37.66,1565,464,769,461,3,2.1187,INLAND,231300,1,1
-119.25,35.75,1598,443,1658,417,36,1.517,INLAND,52100,0,0
-122.54,38.36,2725,531,1167,458,40,3.7969,<1H OCEAN,202800,1,1
-117.97,33.68,1722,316,865,309,23,4.6452,<1H OCEAN,273800,1,2
-118.4,34.1,3979,510,1351,520,27,15.0001,<1H OCEAN,500001,1,2
-120.43,34.88,2580,381,1149,372,22,5.0113,<1H OCEAN,158600,0,1
-118.2,34.05,1703,586,2490,581,42,2.02,<1H OCEAN,147200,0,1
-117.32,34.14,1691,353,1457,329,32,1.8438,INLAND,66600,0,0
-121.92,36.95,3457,699,1327,563,29,3.6597,NEAR OCEAN,252300,1,2
-121.31,37.96,1112,227,583,216,48,2.3393,INLAND,77600,0,0
-118.48,35.14,8417,1657,4631,1468,4,3.6949,INLAND,115800,0,0
-122.2,37.43,2223,412,1050,417,40,5.2421,NEAR OCEAN,444500,1,2
-122.65,38.97,1856,472,703,292,32,1.1912,INLAND,60000,0,0
-118.2,34.05,2672,675,2883,674,36,2.0885,<1H OCEAN,142800,0,1
-118.85,34.25,5593,732,1992,660,17,7.2965,<1H OCEAN,342900,1,2
-117.66,34.04,3657,695,2079,663,10,4.2054,INLAND,159900,0,1
-119.39,36.55,1669,314,837,325,30,3.3869,INLAND,80400,0,0
-118.1,33.93,1622,302,845,284,35,4.5769,<1H OCEAN,186100,1,1
-117.81,34.12,7063,1176,3100,1112,23,4.8229,INLAND,192600,1,1
-121.45,38.61,2436,612,1509,618,32,1.0424,INLAND,81400,0,0
-118.17,34.03,1636,506,1855,502,43,2.2902,<1H OCEAN,152400,0,1
-120.58,38.77,1661,406,789,319,21,2.3583,INLAND,108700,0,0
-122.4,37.58,3281,,1145,480,26,6.358,NEAR OCEAN,500001,1,2
-119.25,35.78,1927,386,1371,414,35,2.2981,INLAND,69900,0,0
-122.17,37.7,1755,365,952,362,24,4,NEAR BAY,202600,1,1
-118.23,33.99,706,203,839,199,5,4.5208,<1H OCEAN,165000,0,1
-117.91,33.6,2088,510,673,390,37,5.1048,<1H OCEAN,500001,1,2
-121.29,38.59,2460,470,1346,480,19,3.6563,INLAND,95600,0,0
-118.36,34.09,2832,883,1594,843,34,1.7558,<1H OCEAN,312500,1,2
-118.16,33.97,1347,434,1756,438,32,1.9464,<1H OCEAN,190600,1,1
-118.99,35.36,1524,354,1210,344,18,1.1136,INLAND,47800,0,0
-117.88,33.77,2549,355,1044,362,31,6.9737,<1H OCEAN,288800,1,2
-121.74,39.38,2596,435,1100,409,27,2.3243,INLAND,85500,0,0
-122.27,37.84,2224,437,1006,422,52,2.6,NEAR BAY,132600,0,0
-116.97,32.8,3927,1018,2204,977,15,2.4367,<1H OCEAN,111400,0,0
-122.29,38.4,2024,340,844,309,28,4.7833,INLAND,361100,1,2
-121.98,37.33,1907,326,912,313,35,5.9567,<1H OCEAN,294300,1,2
-118.45,34.04,3330,1010,1837,915,19,3.0173,<1H OCEAN,393800,1,2
-119.44,38.53,1963,434,682,273,20,1.5817,INLAND,97800,0,0
-122.56,37.98,2649,542,1111,557,36,4.8056,NEAR BAY,345700,1,2
-118.15,34.12,1789,288,848,311,49,6.0199,<1H OCEAN,500000,1,2
-116.45,32.65,2680,643,1644,516,22,2.1949,INLAND,127100,0,0
-121.83,37.28,1115,250,1168,261,33,3.9009,<1H OCEAN,178600,1,1
-117.12,33.52,30401,4957,13251,4339,4,4.5841,<1H OCEAN,212300,1,1
-118.03,33.78,3554,528,1600,537,25,6.6453,<1H OCEAN,270100,1,2
-122.69,38.46,2970,504,1117,512,32,5,<1H OCEAN,275900,1,2
-122.3,37.9,2263,522,1027,509,38,3.5125,NEAR BAY,224200,1,1
-118.43,34.04,2725,569,1115,516,42,4.5833,<1H OCEAN,427500,1,2
-118.39,34.08,6605,1710,2665,1520,27,3.8088,<1H OCEAN,500001,1,2
-117.25,33.65,1652,316,725,233,10,3.5125,<1H OCEAN,155600,0,1
-117.8,33.52,1152,341,519,225,50,3.053,<1H OCEAN,500001,1,2
-117.14,34.05,2634,359,1173,372,5,6.746,INLAND,204100,1,1
-118.99,35.37,832,198,814,174,36,1.4773,INLAND,57400,0,0
-121.88,37.33,395,164,549,184,41,2.375,<1H OCEAN,175000,0,1
-117.14,32.92,1308,418,766,390,7,3.2151,<1H OCEAN,106300,0,0
-118.72,34.28,3051,,1705,495,17,5.7376,<1H OCEAN,218600,1,1
-117.15,34.07,1852,316,906,298,15,5.3526,INLAND,129800,0,0
-117.01,32.73,2526,530,1556,529,22,2.8646,NEAR OCEAN,120800,0,0
-120,35.91,259,53,131,38,16,3.125,INLAND,62500,0,0
-118.34,34.07,3421,598,1203,564,52,4.1618,<1H OCEAN,500001,1,2
-122.07,37.37,2937,407,1097,407,30,7.9813,NEAR BAY,473500,1,2
-117.24,32.79,1149,266,403,228,17,4.1652,NEAR OCEAN,241700,1,2
-121.57,37.01,1448,393,1066,357,44,2.0625,INLAND,170300,0,1
-118.08,34.08,1889,407,1330,396,38,3.9219,<1H OCEAN,205200,1,1
-121.18,37.96,411,74,193,59,35,2.5625,INLAND,146900,0,1
-118.26,33.78,1239,473,1524,387,35,2.0956,NEAR OCEAN,154700,0,1
-121.67,40.61,2411,463,786,297,8,2.1513,INLAND,80400,0,0
-122.28,37.78,1487,306,730,327,50,2.5139,NEAR BAY,219000,1,1
-122.12,38.01,1738,355,837,363,50,3.609,NEAR BAY,135700,0,0
-117.39,34.1,7184,1516,4862,1235,12,2.4492,INLAND,103800,0,0
-121.92,37.27,3280,569,1583,559,33,4.5625,<1H OCEAN,253500,1,2
-117.65,34.11,2788,370,1140,385,28,5.3368,INLAND,233500,1,1
-117.14,32.91,3014,710,2165,705,14,3.7837,<1H OCEAN,160300,0,1
-121.19,39.05,1131,193,520,178,14,3.9,INLAND,180400,1,1
-121.38,38.67,2176,460,1067,357,37,2.3958,INLAND,78400,0,0
-121.36,38.63,2619,370,940,359,30,4.7283,INLAND,164500,0,1
-121.25,40.27,958,245,28,16,25,2.625,INLAND,67500,0,0
-118.29,33.95,1401,362,1357,327,35,2.0917,<1H OCEAN,99300,0,0
-118.27,34.17,1560,280,825,269,48,5.5118,<1H OCEAN,354700,1,2
-121.33,38.04,1933,280,965,260,15,4.6477,INLAND,142700,0,1
-119.06,34.35,2426,646,2116,631,34,2.0682,<1H OCEAN,158300,0,1
-118.28,34,855,284,890,247,42,1.2778,<1H OCEAN,112500,0,0
-117.34,34.13,1494,286,991,280,29,2.125,INLAND,70600,0,0
-117.18,32.69,3112,716,1304,674,37,3.2121,NEAR OCEAN,320800,1,2
-117.38,34.09,3955,815,2184,725,8,3.3438,INLAND,127600,0,0
-122.46,37.74,2180,326,856,326,52,5.3961,NEAR BAY,416900,1,2
-121.26,38.09,930,186,525,201,35,2.0625,INLAND,155000,0,1
-118.31,34,2709,642,1751,613,52,2.1116,<1H OCEAN,122500,0,0
-119.38,36.55,2342,439,1411,465,31,3.017,INLAND,72000,0,0
-122.49,37.74,2189,433,1147,420,52,3.4583,NEAR OCEAN,321300,1,2
-118.47,33.99,854,235,645,198,33,2.1471,<1H OCEAN,239300,1,2
-117.04,32.58,2029,357,1497,353,20,4.0089,NEAR OCEAN,132100,0,0
-118.26,34.07,1802,613,2382,587,52,1.8438,<1H OCEAN,185900,1,1
-118.46,34.07,2511,456,808,407,43,6.7703,<1H OCEAN,500001,1,2
-122.07,37.69,5914,1309,2999,1295,31,3.0964,NEAR BAY,190500,1,1
-116.52,33.97,3921,754,1902,665,13,3.3616,INLAND,89600,0,0
-118.55,34.27,4919,661,2183,625,25,8.1356,<1H OCEAN,352800,1,2
-117.95,34.07,1987,399,1279,378,37,4.1172,<1H OCEAN,176500,0,1
-118.35,33.89,1143,299,776,273,30,4.2829,<1H OCEAN,240000,1,2
-118.26,34.02,1091,349,1786,340,38,2.131,<1H OCEAN,136500,0,0
-120.27,37.12,1219,258,639,245,36,1.9464,INLAND,57000,0,0
-118.02,33.95,2085,400,1112,391,35,3.4886,<1H OCEAN,173900,0,1
-122.49,37.75,2226,385,1177,416,52,4.8516,NEAR OCEAN,323800,1,2
-117.97,33.89,3801,542,1992,526,15,9.0683,<1H OCEAN,367400,1,2
-118.13,33.97,1736,297,823,292,34,5.4042,<1H OCEAN,241600,1,2
-117.11,32.76,1457,397,672,342,28,1.9799,NEAR OCEAN,122700,0,0
-118.12,34.15,557,216,673,212,19,2.1763,<1H OCEAN,168800,0,1
-123.1,38.79,3109,712,1643,638,20,2.8344,<1H OCEAN,164400,0,1
-118.27,33.94,1309,344,1182,340,43,1.6625,<1H OCEAN,88700,0,0
-120.97,38.91,4341,716,1978,682,7,4.8311,INLAND,172200,0,1
-120.11,36.96,3344,570,1624,536,17,3.8952,INLAND,95300,0,0
-121.3,38.89,1529,317,793,281,45,2.9866,INLAND,91300,0,0
-121.83,37.23,5389,903,2232,825,7,6.6659,<1H OCEAN,500001,1,2
-121.46,38.56,1750,372,764,369,52,2.9191,INLAND,111800,0,0
-117.86,33.75,1761,515,1810,468,31,1.9309,<1H OCEAN,173400,0,1
-116.95,32.77,3308,421,1201,414,25,6.3191,<1H OCEAN,303400,1,2
-117.98,35.1,923,166,352,135,4,4.5724,INLAND,84500,0,0
-118.13,33.91,916,162,552,164,34,4.9107,<1H OCEAN,222000,1,1
-122.49,37.76,1382,230,708,279,52,5.8096,NEAR BAY,339800,1,2
-117.11,32.68,26,14,58,23,36,1.9107,NEAR OCEAN,125000,0,0
-117.28,34.14,2364,438,968,416,40,3.4906,INLAND,93300,0,0
-124.15,40.79,2692,488,1263,486,37,3.0216,NEAR OCEAN,86400,0,0
-118.1,33.92,2017,383,1388,386,35,4.0774,<1H OCEAN,171600,0,1
-117.98,33.65,3592,527,1598,523,22,6.5501,<1H OCEAN,294900,1,2
-117.15,32.76,1921,502,811,472,37,2.75,NEAR OCEAN,175000,0,1
-118.15,34.04,818,195,664,198,33,2.1944,<1H OCEAN,203300,1,1
-117.23,32.73,2914,683,1562,638,35,2.5259,NEAR OCEAN,240200,1,2
-118.45,34.06,3367,1264,2667,1131,20,2.2444,<1H OCEAN,500000,1,2
-121.3,38.69,2135,429,779,432,13,3.6995,INLAND,134900,0,0
-117.69,34.07,3222,559,1970,550,35,3.7083,INLAND,131000,0,0
-117.92,33.62,2038,379,837,381,37,5.2416,<1H OCEAN,471300,1,2
-121.92,36.62,867,199,391,187,52,2.6713,NEAR OCEAN,234600,1,1
-116.98,34.05,2290,312,957,274,6,7.2708,INLAND,316700,1,2
-121.29,36.9,3610,593,1734,559,17,5.8324,INLAND,374200,1,2
-118.42,34.04,1358,272,574,267,52,5.6454,<1H OCEAN,500001,1,2
-122.27,37.51,3996,793,1744,761,39,4.5075,NEAR OCEAN,364900,1,2
-117.43,34.08,4563,1187,2475,1019,13,2.1189,INLAND,121700,0,0
-119.57,36.7,1759,354,899,337,34,2.6823,INLAND,72900,0,0
-122.23,37.78,1420,472,1506,438,43,1.9338,NEAR BAY,112500,0,0
-117.93,33.64,1291,356,1252,373,31,2.7143,<1H OCEAN,185400,1,1
-117.97,33.81,2406,462,1753,456,30,4.485,<1H OCEAN,180600,1,1
-118.29,33.89,2810,614,1578,601,35,3.59,<1H OCEAN,200600,1,1
-121.89,37.3,1604,284,639,278,47,5.8415,<1H OCEAN,283300,1,2
-118.02,33.8,2956,393,1379,429,16,8.4952,<1H OCEAN,359600,1,2
-117.38,34.07,1156,191,910,234,6,4.9091,INLAND,122400,0,0
-117.67,34.06,1592,429,1182,365,26,2.4583,INLAND,110400,0,0
-121.55,38.5,4868,738,2036,750,9,5.7621,INLAND,204600,1,1
-117.35,34.13,3920,570,1862,552,26,3.7286,INLAND,132000,0,0
-116.91,32.83,5203,,2515,862,16,4.105,<1H OCEAN,174400,0,1
-117.23,34.11,1162,221,995,244,22,2.5875,INLAND,81300,0,0
-120.97,37.67,1648,293,792,294,31,2.4,INLAND,121500,0,0
-122.64,38.87,1177,240,519,199,16,1.5739,INLAND,73500,0,0
-117.51,33.88,3044,602,2541,564,24,4.131,INLAND,123800,0,0
-120.65,35.48,2310,471,1341,441,19,3.225,<1H OCEAN,166900,0,1
-117.65,34.1,1688,365,622,322,19,3.6,INLAND,136400,0,0
-117.71,34.07,1840,380,1187,357,31,3.8875,INLAND,129200,0,0
-118.33,34.11,1601,464,784,461,48,3.0642,<1H OCEAN,342900,1,2
-121.65,37.11,6006,914,2915,898,14,5.9356,<1H OCEAN,321700,1,2
-120.96,37.61,3497,887,2467,816,23,1.9444,INLAND,93400,0,0
-124.16,40.79,2148,421,975,430,52,2.2566,NEAR OCEAN,92700,0,0
-119.71,34.42,840,279,488,270,50,2.2097,<1H OCEAN,258300,1,2
-121.61,37.86,1428,287,989,287,30,3.691,INLAND,154400,0,1
-121.3,38.11,5979,1190,2679,1084,5,4.196,INLAND,171700,0,1
-118.3,33.89,2132,565,1369,565,37,3.285,<1H OCEAN,218100,1,1
-122.09,37.11,2637,489,1031,410,32,3.6474,NEAR OCEAN,231600,1,1
-118.24,34.23,1541,280,753,264,42,5.1028,<1H OCEAN,292100,1,2
-118.28,34.07,1072,331,1111,314,41,1.9233,<1H OCEAN,207100,1,1
-122.46,37.63,6728,1382,3783,1310,22,5.0479,NEAR OCEAN,280400,1,2
-119.81,36.8,2806,552,1242,540,29,3.5958,INLAND,88800,0,0
-117.2,33.7,6323,1196,1984,1124,23,2.3276,<1H OCEAN,92400,0,0
-118.24,33.97,1053,263,1354,292,37,2.5833,<1H OCEAN,112500,0,0
-118.85,34.19,2287,320,967,321,27,6.5162,<1H OCEAN,349400,1,2
-118.07,33.99,1204,252,1002,248,41,3.0577,<1H OCEAN,163300,0,1
-118.24,33.9,1079,247,1055,243,35,2.375,<1H OCEAN,93600,0,0
-121.55,39.51,1551,353,684,310,39,2.0357,INLAND,57600,0,0
-119.62,37.33,3389,621,1268,474,7,3.0224,INLAND,147800,0,1
-117.24,33.2,1701,404,989,367,26,2.5119,<1H OCEAN,171700,0,1
-121.65,36.67,1926,556,1717,535,28,1.9385,<1H OCEAN,123200,0,0
-120.47,35.74,4267,785,2065,691,9,3.7303,<1H OCEAN,162700,0,1
-118.39,33.97,993,175,374,180,38,6.2673,<1H OCEAN,357200,1,2
-117.11,32.73,1689,397,1135,366,35,2.3269,NEAR OCEAN,97300,0,0
-122.33,37.98,2850,544,1024,515,3,6.0115,NEAR BAY,175000,0,1
-121.89,37.32,1014,246,952,215,34,2.8864,<1H OCEAN,172500,0,1
-118.45,34.31,1739,358,820,323,9,4.0556,<1H OCEAN,182500,1,1
-118.36,33.9,1271,276,725,234,40,5.0452,<1H OCEAN,231900,1,1
-118.54,34.21,2593,566,1596,547,32,3.9886,<1H OCEAN,199200,1,1
-124.06,40.86,4183,,1891,669,34,3.2216,NEAR OCEAN,98100,0,0
-118.1,33.89,994,203,602,185,35,3.5865,<1H OCEAN,178000,0,1
-118.31,34.1,766,347,918,305,33,1.705,<1H OCEAN,350000,1,2
-118.25,34.09,1866,470,1211,417,52,2.935,<1H OCEAN,189400,1,1
-118.1,33.96,2013,435,1476,475,36,3.9549,<1H OCEAN,192100,1,1
-121.96,37.23,4423,632,1719,608,36,7.8407,<1H OCEAN,476400,1,2
-118.45,34.32,3481,641,1952,682,23,4.26,<1H OCEAN,189400,1,1
-122.43,37.75,3521,767,1415,687,52,4.875,NEAR BAY,362200,1,2
-120.4,34.85,2384,385,1323,400,26,4.8185,<1H OCEAN,157900,0,1
-118.19,33.91,2695,748,2935,706,35,2.0134,<1H OCEAN,132400,0,0
-121.85,37.33,735,158,597,134,19,4.5208,<1H OCEAN,188100,1,1
-117.15,32.78,1577,266,611,284,25,5.25,NEAR OCEAN,205100,1,1
-121.37,38.68,1620,276,939,277,35,2.5542,INLAND,72900,0,0
-117.34,34.16,1606,354,1049,335,31,2.1935,INLAND,72700,0,0
-117.86,33.79,3523,922,2660,949,31,3.1792,<1H OCEAN,146400,0,1
-118.22,34.13,2983,526,1614,543,35,5.7794,<1H OCEAN,272400,1,2
-122.27,37.85,1375,307,843,319,47,1.3785,NEAR BAY,142300,0,0
-118.1,34.02,1143,172,508,174,33,4.9107,<1H OCEAN,279900,1,2
-117.82,33.78,4485,667,2048,685,28,5.4562,<1H OCEAN,274700,1,2
-118.42,33.92,3521,852,1524,764,25,3.8086,<1H OCEAN,361300,1,2
-120.87,37.6,4579,914,2742,856,32,2.6619,INLAND,86200,0,0
-118.13,33.93,2040,458,1775,445,38,3.5227,<1H OCEAN,202400,1,1
-118.26,33.91,967,256,903,256,39,1.9038,<1H OCEAN,93100,0,0
-118.41,34.18,2008,513,1052,496,30,3.0119,<1H OCEAN,262200,1,2
-118.02,34.1,1928,361,1008,368,36,4.733,INLAND,233700,1,1
-121.45,38.57,1962,356,704,362,48,3.5313,INLAND,147900,0,1
-118.36,33.96,1849,518,1498,451,25,2.8378,<1H OCEAN,170000,0,1
-117.38,33.89,3964,524,1707,549,12,5.1624,INLAND,267900,1,2
-117.05,32.62,3928,686,2315,681,34,4.2851,NEAR OCEAN,144500,0,1
-122.71,38.4,1690,464,833,445,17,1.439,<1H OCEAN,140600,0,0
-117.03,34.87,2245,407,1016,364,7,3.9464,INLAND,101500,0,0
-121.76,36.92,947,257,1120,264,46,3.4125,<1H OCEAN,160700,0,1
-122.26,37.83,1125,322,616,304,50,2.026,NEAR BAY,142500,0,0
-122.26,38.36,1821,344,349,179,25,6.9931,INLAND,398800,1,2
-121.63,39.13,2355,531,1047,497,26,1.8208,INLAND,79500,0,0
-121.2,37.81,395,74,193,72,26,7.3718,INLAND,212500,1,1
-120.06,36.95,646,134,454,149,24,2.125,INLAND,61900,0,0
-121.45,38.53,1746,388,1142,315,38,1.7714,INLAND,69900,0,0
-118.3,33.97,1425,317,1140,304,46,3.375,<1H OCEAN,98500,0,0
-121.64,39.74,1808,334,763,335,20,2.3711,INLAND,121800,0,0
-120.99,37.63,319,120,276,85,21,2.4792,INLAND,60000,0,0
-119.81,36.78,2281,371,839,367,52,3.5972,INLAND,89900,0,0
-117.89,33.61,1790,361,540,284,41,6.0247,<1H OCEAN,500001,1,2
-118.35,34.06,1354,279,716,309,48,3.7167,<1H OCEAN,385000,1,2
-117.07,33.07,2756,343,1045,340,8,8.5957,<1H OCEAN,444100,1,2
-118.22,34.21,2174,418,1030,395,29,3.5707,<1H OCEAN,341700,1,2
-117.11,32.8,3890,586,2791,595,17,3.2197,NEAR OCEAN,67500,0,0
-117.97,34.15,2474,472,1268,437,33,6.4576,INLAND,500001,1,2
-122.41,37.66,1385,356,1096,353,32,4.475,NEAR OCEAN,246700,1,2
-117.11,32.78,2470,830,1170,724,16,3.5562,NEAR OCEAN,73500,0,0
-122.26,37.98,2038,329,947,349,28,5.1178,NEAR BAY,198000,1,1
-121.92,37.33,2125,382,930,387,52,5.2831,<1H OCEAN,299500,1,2
-122.16,37.76,1827,307,881,302,46,4.6696,NEAR BAY,164300,0,1
-117.26,34.17,1937,351,945,344,30,3.8906,INLAND,123700,0,0
-121.78,38.67,2948,478,1123,460,38,4.0556,INLAND,146900,0,1
-120.45,34.94,1058,232,891,243,26,3.6422,<1H OCEAN,120600,0,0
-117.08,32.91,1653,228,690,224,16,6.5853,<1H OCEAN,248400,1,2
-117.95,34.05,1309,276,1113,253,35,4.375,<1H OCEAN,156500,0,1
-118.34,33.91,3724,1023,2536,971,17,3.2649,<1H OCEAN,202100,1,1
-122.24,38.11,1743,388,889,341,42,2.3241,NEAR BAY,99200,0,0
-120.46,34.64,686,217,614,200,16,0.8106,NEAR OCEAN,83300,0,0
-121.33,38.56,3608,682,1694,666,17,3.311,INLAND,109400,0,0
-117.9,34.06,1701,290,831,275,33,5.4469,<1H OCEAN,274700,1,2
-117.87,33.85,45,11,34,10,33,5.2949,<1H OCEAN,350000,1,2
-122.24,37.75,4051,753,1499,797,27,4.8711,NEAR BAY,286600,1,2
-120.65,38.5,1783,337,638,262,10,2.65,INLAND,116700,0,0
-122.28,37.84,729,160,395,155,52,1.6875,NEAR BAY,132000,0,0
-117.06,32.77,1730,373,730,350,34,2.0284,NEAR OCEAN,161800,0,1
-119.6,36.57,2311,439,1347,436,42,2.5556,INLAND,69700,0,0
-119.65,36.35,1745,266,837,292,21,4.3911,INLAND,107900,0,0
-122.7,39.14,532,111,214,62,13,3.3929,INLAND,108300,0,0
-121.34,38.57,5737,1008,2731,983,14,4.4602,INLAND,134500,0,0
-118.02,34.14,1077,257,478,199,34,2.6316,INLAND,252800,1,2
-121.23,37.81,2906,537,1886,557,15,4.2431,INLAND,137100,0,0
-117.31,33.1,2392,446,747,421,15,3.5341,NEAR OCEAN,500001,1,2
-117.87,33.84,3381,729,1584,636,10,5.3812,<1H OCEAN,235400,1,2
-122.53,37.86,1183,196,628,205,38,3.75,NEAR BAY,478600,1,2
-122.07,37.58,1606,240,1117,268,16,6.0661,NEAR BAY,247000,1,2
-122.4,37.72,1948,413,1434,396,40,3.0313,NEAR BAY,219100,1,1
-118.31,33.89,2144,423,1192,417,35,4.1458,<1H OCEAN,231500,1,1
-118.3,33.85,123,36,142,40,38,2.3942,<1H OCEAN,200000,1,1
-120.99,37.64,683,189,459,195,50,1.8162,INLAND,70000,0,0
-118.3,34.05,1453,588,1987,589,34,2.096,<1H OCEAN,187500,1,1
-117.23,33.21,544,108,348,127,34,4.125,<1H OCEAN,164600,0,1
-121.9,36.6,2461,649,1234,601,33,2.8727,NEAR OCEAN,225000,1,1
-118.27,33.8,4698,902,3287,881,28,4.8508,<1H OCEAN,215900,1,1
-120.74,39.82,1955,398,294,122,9,3.9583,INLAND,126500,0,0
-122.32,37.56,2016,299,691,288,49,5.549,NEAR OCEAN,500001,1,2
-121.86,37.37,8162,2124,8793,2086,15,3.3306,<1H OCEAN,210300,1,1
-117.21,34.22,5454,1053,1408,504,31,5,INLAND,161100,0,1
-118.62,34.17,3268,538,1463,519,34,6.8482,<1H OCEAN,308300,1,2
-121.22,38.67,1412,226,700,227,20,4.05,INLAND,130700,0,0
-118.29,34.26,3177,713,1845,612,33,4.008,<1H OCEAN,191100,1,1
-118.02,33.95,1705,299,871,296,36,4.6184,<1H OCEAN,179800,1,1
-117.71,33.64,2945,356,1293,335,14,8.111,<1H OCEAN,308900,1,2
-122.49,37.76,1724,295,795,297,49,4.3977,NEAR BAY,353600,1,2
-122.63,38.96,2507,577,1072,457,20,2.3083,INLAND,60200,0,0
-122.14,37.75,1334,200,579,202,33,6.8323,NEAR BAY,255900,1,2
-117.9,33.72,2613,562,3150,543,33,4.3899,<1H OCEAN,180700,1,1
-118.12,34.14,2337,352,981,328,52,5.8692,<1H OCEAN,490400,1,2
-122.92,39.08,341,64,146,57,24,4,INLAND,166300,0,1
-121.36,38.42,3254,465,1168,345,6,5.1811,INLAND,188400,1,1
-118.05,34.08,1572,427,1857,428,30,2.4914,<1H OCEAN,159200,0,1
-117.88,34.12,2029,351,1327,364,36,4.1836,<1H OCEAN,164300,0,1
-122.03,37.91,5438,871,2310,890,29,5.0362,NEAR BAY,275300,1,2
-117.27,34.42,5643,1005,3166,957,9,3.2077,INLAND,93300,0,0
-117.98,33.8,2114,341,1077,343,35,5.4876,<1H OCEAN,227500,1,1
-117.02,32.73,5201,865,3280,817,22,4.7952,NEAR OCEAN,141400,0,0
-118.25,34.07,764,322,1275,306,43,2,<1H OCEAN,175000,0,1
-117.98,33.78,2825,546,1908,563,31,3.9798,<1H OCEAN,187500,1,1
-121.86,36.6,1044,285,762,301,31,3.038,<1H OCEAN,195300,1,1
-122.49,37.75,2181,419,1041,379,48,3.7361,NEAR OCEAN,320200,1,2
-118.38,34.15,2933,619,1115,579,36,4.3036,<1H OCEAN,365900,1,2
-122.18,37.15,1457,289,591,235,17,5.5785,NEAR OCEAN,284100,1,2
-122.45,37.91,2682,382,935,369,27,10.0791,NEAR BAY,500001,1,2
-118.11,33.85,2418,389,1138,387,36,4.8393,<1H OCEAN,216300,1,1
-118.04,33.87,4626,822,2794,763,18,5.6917,<1H OCEAN,275100,1,2
-122.35,37.91,2851,798,1285,712,4,4.2895,NEAR BAY,186800,1,1
-120.97,37.64,2359,504,1131,480,42,2.0833,INLAND,95500,0,0
-117.96,33.87,890,289,416,200,27,3.141,<1H OCEAN,167500,0,1
-119.03,35.41,1808,435,1005,373,41,1.7857,INLAND,54300,0,0
